AIRPORT_ID,AIRPORT_SEQ_ID,CITY_MARKET_ID,AIRPORT_CODE,CITY_NAME,STATE_ABR,STATE_FIPS,STATE_NM,WAC
10011,1001104,30011,1G4,"Peach Springs, AZ",AZ,4,Arizona,81
10040,1004001,30040,A27,"Pogo Mines, AK",AK,2,Alaska,1
10122,1012204,30122,AAF,"Apalachicola, FL",FL,12,Florida,33
10135,1013506,30135,ABE,"Allentown/Bethlehem/Easton, PA",PA,42,Pennsylvania,23
10136,1013603,30136,ABI,"Abilene, TX",TX,48,Texas,74
10139,1013901,30139,ABL,"Ambler, AK",AK,2,Alaska,1
10140,1014005,30140,ABQ,"Albuquerque, NM",NM,35,"New Mexico",86
10141,1014106,30141,ABR,"Aberdeen, SD",SD,46,"South Dakota",67
10146,1014602,30146,ABY,"Albany, GA",GA,13,Georgia,34
10154,1015406,30154,ACK,"Nantucket, MA",MA,25,Massachusetts,13
10155,1015502,30155,ACT,"Waco, TX",TX,48,Texas,74
10157,1015706,30157,ACV,"Arcata/Eureka, CA",CA,6,California,91
10158,1015804,30158,ACY,"Atlantic City, NJ",NJ,34,"New Jersey",21
10165,1016506,30165,ADK,"Adak Island, AK",AK,2,Alaska,1
10170,1017004,30070,ADQ,"Kodiak, AK",AK,2,Alaska,1
10171,1017102,30194,ADS,"Dallas, TX",TX,48,Texas,74
10184,1018402,30184,AET,"Allakaket, AK",AK,2,Alaska,1
10185,1018502,30185,AEX,"Alexandria, LA",LA,22,Louisiana,72
10194,1019408,30194,AFW,"Dallas/Fort Worth, TX",TX,48,Texas,74
10204,1020401,30204,AGN,"Angoon, AK",AK,2,Alaska,1
10208,1020803,30208,AGS,"Augusta, GA",GA,13,Georgia,34
10216,1021605,30216,AHN,"Athens, GA",GA,13,Georgia,34
10221,1022105,30221,AIA,"Alliance, NE",NE,31,Nebraska,65
10225,1022502,30225,AIN,"Wainwright, AK",AK,2,Alaska,1
10237,1023702,30237,AKB,"Atka, AK",AK,2,Alaska,1
10241,1024102,30241,AKI,"Akiak, AK",AK,2,Alaska,1
10245,1024502,30245,AKN,"King Salmon, AK",AK,2,Alaska,1
10247,1024702,30247,AKP,"Anaktuvuk Pass, AK",AK,2,Alaska,1
10257,1025702,30257,ALB,"Albany, NY",NY,36,"New York",22
10268,1026803,30268,ALO,"Waterloo, IA",IA,19,Iowa,61
10272,1027205,30272,ALS,"Alamosa, CO",CO,8,Colorado,82
10275,1027506,30275,ALW,"Walla Walla, WA",WA,53,Washington,93
10279,1027903,30279,AMA,"Amarillo, TX",TX,48,Texas,74
10299,1029906,30299,ANC,"Anchorage, AK",AK,2,Alaska,1
10304,1030402,30304,ANI,"Aniak, AK",AK,2,Alaska,1
10313,1031302,30313,ANV,"Anvik, AK",AK,2,Alaska,1
10322,1032202,30322,AOO,"Altoona, PA",PA,42,Pennsylvania,23
10325,1032505,30325,APA,"Denver, CO",CO,8,Colorado,82
10327,1032704,30327,APC,"Napa, CA",CA,6,California,91
10329,1032905,30329,APF,"Naples, FL",FL,12,Florida,33
10333,1033302,30333,APN,"Alpena, MI",MI,26,Michigan,43
10349,1034902,30349,ARC,"Arctic Village, AK",AK,2,Alaska,1
10361,1036105,30361,ART,"Watertown, NY",NY,36,"New York",22
10372,1037205,30372,ASE,"Aspen, CO",CO,8,Colorado,82
10396,1039605,30396,ATK,"Atqasuk, AK",AK,2,Alaska,1
10397,1039707,30397,ATL,"Atlanta, GA",GA,13,Georgia,34
10405,1040505,30405,ATT,"Atmautluak, AK",AK,2,Alaska,1
10408,1040805,30408,ATW,"Appleton, WI",WI,55,Wisconsin,45
10409,1040903,30409,ATY,"Watertown, SD",SD,46,"South Dakota",67
10414,1041402,30414,AUG,"Augusta/Waterville, ME",ME,23,Maine,12
10416,1041605,30416,AUK,"Alakanuk, AK",AK,2,Alaska,1
10423,1042302,30423,AUS,"Austin, TX",TX,48,Texas,74
10431,1043106,30431,AVL,"Asheville, NC",NC,37,"North Carolina",36
10434,1043405,30434,AVP,"Scranton/Wilkes-Barre, PA",PA,42,Pennsylvania,23
10436,1043602,30436,AVW,"Tucson, AZ",AZ,4,Arizona,81
10439,1043903,30439,AWK,"Wake Island, TT",TT,75,"U.S. Pacific Trust Territories and Possessions",5
10455,1045502,30455,AXX,"Eagle Nest, NM",NM,35,"New Mexico",86
10465,1046502,30466,AZ3,"Glendale, AZ",AZ,4,Arizona,81
10466,1046602,30466,AZA,"Phoenix, AZ",AZ,4,Arizona,81
10469,1046902,30469,AZO,"Kalamazoo, MI",MI,26,Michigan,43
10476,1047605,30476,BAD,"Shreveport, LA",LA,22,Louisiana,72
10478,1047805,30478,BAF,"Westfield, MA",MA,25,Massachusetts,13
10508,1050803,30508,BCB,"Blacksburg, VA",VA,51,Virginia,38
10519,1051901,30519,BCT,"Boca Raton, FL",FL,12,Florida,33
10529,1052907,30529,BDL,"Hartford, CT",CT,9,Connecticut,11
10535,1053503,30535,BDR,"Bridgeport, CT",CT,9,Connecticut,11
10540,1054005,30540,BED,"Bedford, MA",MA,25,Massachusetts,13
10551,1055102,30113,BET,"Bethel, AK",AK,2,Alaska,1
10557,1055702,30557,BFD,"Bradford, PA",PA,42,Pennsylvania,23
10558,1055803,30558,BFF,"Scottsbluff, NE",NE,31,Nebraska,65
10559,1055902,30559,BFI,"Seattle, WA",WA,53,Washington,93
10561,1056103,30561,BFL,"Bakersfield, CA",CA,6,California,91
10562,1056203,30562,BFM,"Mobile, AL",AL,1,Alabama,51
10569,1056903,30569,BFT,"Beaufort, SC",SC,45,"South Carolina",37
10577,1057705,30577,BGM,"Binghamton, NY",NY,36,"New York",22
10581,1058102,30581,BGR,"Bangor, ME",ME,23,Maine,12
10589,1058903,30589,BHB,"Bar Harbor, ME",ME,23,Maine,12
10590,1059006,30590,IFP,"Bullhead City, AZ",AZ,4,Arizona,81
10599,1059904,30599,BHM,"Birmingham, AL",AL,1,Alabama,51
10613,1061302,30613,BID,"Block Island, RI",RI,44,"Rhode Island",15
10615,1061502,30615,BIF,"El Paso, TX",TX,48,Texas,74
10617,1061705,30617,BIH,"Bishop, CA",CA,6,California,91
10620,1062003,30620,BIL,"Billings, MT",MT,30,Montana,84
10627,1062702,30627,BIS,"Bismarck/Mandan, ND",ND,38,"North Dakota",66
10630,1063004,30630,BJC,"Broomfield, CO",CO,8,Colorado,82
10631,1063104,30631,BJI,"Bemidji, MN",MN,27,Minnesota,63
10640,1064002,30640,BKC,"Buckland, AK",AK,2,Alaska,1
10654,1065402,30654,BKW,"Beckley, WV",WV,54,"West Virginia",39
10661,1066106,30661,BLD,"Boulder City, NV",NV,32,Nevada,85
10666,1066602,30666,BLI,"Bellingham, WA",WA,53,Washington,93
10676,1067603,30676,BLV,"Belleville, IL",IL,17,Illinois,41
10683,1068303,30683,BMG,"Bloomington, IN",IN,18,Indiana,42
10685,1068503,30685,BMI,"Bloomington/Normal, IL",IL,17,Illinois,41
10693,1069302,30693,BNA,"Nashville, TN",TN,47,Tennessee,54
10713,1071302,30713,BOI,"Boise, ID",ID,16,Idaho,83
10721,1072102,30721,BOS,"Boston, MA",MA,25,Massachusetts,13
10728,1072805,30728,BPT,"Beaumont/Port Arthur, TX",TX,48,Texas,74
10731,1073103,30731,BQK,"Brunswick, GA",GA,13,Georgia,34
10732,1073203,30732,BQN,"Aguadilla, PR",PR,72,"Puerto Rico",3
10739,1073907,30739,BRD,"Brainerd, MN",MN,27,Minnesota,63
10744,1074403,30744,BRL,"Burlington, IA",IA,19,Iowa,61
10747,1074706,30747,BRO,"Brownsville, TX",TX,48,Texas,74
10754,1075405,30107,BRW,"Barrow, AK",AK,2,Alaska,1
10775,1077507,30775,BTI,"Barter Island, AK",AK,2,Alaska,1
10779,1077902,30779,BTM,"Butte, MT",MT,30,Montana,84
10781,1078105,30781,BTR,"Baton Rouge, LA",LA,22,Louisiana,72
10783,1078302,30783,BTT,"Bettles, AK",AK,2,Alaska,1
10785,1078502,30785,BTV,"Burlington, VT",VT,50,Vermont,16
10792,1079206,30792,BUF,"Buffalo, NY",NY,36,"New York",22
10800,1080003,32575,BUR,"Burbank, CA",CA,6,California,91
10815,1081505,30815,BVY,"Beverly, MA",MA,25,Massachusetts,13
10817,1081702,30817,BWD,"Brownwood, TX",TX,48,Texas,74
10819,1081902,30819,BWG,"Bowling Green, KY",KY,21,Kentucky,52
10821,1082106,30852,BWI,"Baltimore, MD",MD,24,Maryland,35
10849,1084907,30849,BZN,"Bozeman, MT",MT,30,Montana,84
10857,1085703,30857,C01,"Camarillo, CA",CA,6,California,91
10868,1086803,30868,CAE,"Columbia, SC",SC,45,"South Carolina",37
10874,1087402,30647,CAK,"Akron, OH",OH,39,Ohio,44
10910,1091003,32457,CCR,"Concord, CA",CA,6,California,91
10917,1091706,30082,CDB,"Cold Bay, AK",AK,2,Alaska,1
10918,1091802,30918,CDC,"Cedar City, UT",UT,49,Utah,87
10925,1092502,30925,CDR,"Chadron, NE",NE,31,Nebraska,65
10926,1092603,30913,CDV,"Cordova, AK",AK,2,Alaska,1
10930,1093002,30930,CEC,"Crescent City, CA",CA,6,California,91
10933,1093302,30933,CEF,"Chicopee Falls, MA",MA,25,Massachusetts,13
10938,1093802,30938,CEM,"Central, AK",AK,2,Alaska,1
10950,1095002,30950,CEZ,"Cortez, CO",CO,8,Colorado,82
10958,1095802,30958,CFT,"Clifton, AZ",AZ,4,Arizona,81
10967,1096702,30967,CGI,"Cape Girardeau, MO",MO,29,Missouri,64
10980,1098002,30980,CHA,"Chattanooga, TN",TN,47,Tennessee,54
10990,1099005,30990,CHO,"Charlottesville, VA",VA,51,Virginia,38
10994,1099402,30994,CHS,"Charleston, SC",SC,45,"South Carolina",37
10996,1099602,30996,CHU,"Chuathbaluk, AK",AK,2,Alaska,1
11002,1100203,31002,CIC,"Chico, CA",CA,6,California,91
11003,1100303,31003,CID,"Cedar Rapids/Iowa City, IA",IA,19,Iowa,61
11007,1100702,31007,CIK,"Chalkyitsik, AK",AK,2,Alaska,1
11013,1101303,31013,CIU,"Sault Ste. Marie, MI",MI,26,Michigan,43
11027,1102705,31027,CKB,"Clarksburg/Fairmont, WV",WV,54,"West Virginia",39
11028,1102803,31028,CKD,"Crooked Creek, AK",AK,2,Alaska,1
11036,1103605,31036,CKX,"Chicken, AK",AK,2,Alaska,1
11041,1104103,31041,CLD,"Carlsbad, CA",CA,6,California,91
11042,1104205,30647,CLE,"Cleveland, OH",OH,39,Ohio,44
11049,1104903,31049,CLL,"College Station/Bryan, TX",TX,48,Texas,74
11050,1105002,31050,CLM,"Port Angeles, WA",WA,53,Washington,93
11053,1105302,31053,CLP,"Clarks Point, AK",AK,2,Alaska,1
11057,1105703,31057,CLT,"Charlotte, NC",NC,37,"North Carolina",36
11066,1106606,31066,CMH,"Columbus, OH",OH,39,Ohio,44
11067,1106703,31067,CMI,"Champaign/Urbana, IL",IL,17,Illinois,41
11076,1107603,31076,CMX,"Hancock/Houghton, MI",MI,26,Michigan,43
11085,1108502,31085,CNM,"Carlsbad, NM",NM,35,"New Mexico",86
11086,1108602,31086,CNO,"Chino, CA",CA,6,California,91
11090,1109004,30155,CNW,"Waco, TX",TX,48,Texas,74
11092,1109205,31092,CNY,"Moab, UT",UT,49,Utah,87
11097,1109702,31097,COD,"Cody, WY",WY,56,Wyoming,88
11099,1109905,31099,COF,"Cocoa Beach, FL",FL,12,Florida,33
11106,1110602,31106,CON,"Concord, NH",NH,33,"New Hampshire",14
11109,1110902,30189,COS,"Colorado Springs, CO",CO,8,Colorado,82
11111,1111106,32474,COU,"Columbia, MO",MO,29,Missouri,64
11122,1112205,31122,CPR,"Casper, WY",WY,56,Wyoming,88
11123,1112301,31123,CPS,"St. Louis, MO",MO,29,Missouri,64
11126,1112605,31126,CPX,"Culebra, PR",PR,72,"Puerto Rico",3
11136,1113604,31136,CRG,"Jacksonville, FL",FL,12,Florida,33
11140,1114008,31140,CRP,"Corpus Christi, TX",TX,48,Texas,74
11146,1114608,31146,CRW,"Charleston/Dunbar, WV",WV,54,"West Virginia",39
11150,1115005,31150,CSG,"Columbus, GA",GA,13,Georgia,34
11193,1119302,33105,CVG,"Cincinnati, OH",KY,21,Kentucky,52
11197,1119707,31197,CVN,"Clovis, NM",NM,35,"New Mexico",86
11198,1119805,31198,CVO,"Corvallis, OR",OR,41,Oregon,92
11203,1120302,30424,CWA,"Mosinee, WI",WI,55,Wisconsin,45
11214,1121402,31214,CXF,"Coldfoot, AK",AK,2,Alaska,1
11227,1122706,31227,CYF,"Chefornak, AK",AK,2,Alaska,1
11233,1123302,31233,CYS,"Cheyenne, WY",WY,56,Wyoming,88
11241,1124105,31241,CZF,"Cape Romanzof, AK",AK,2,Alaska,1
11245,1124505,31245,CZN,"Chisana, AK",AK,2,Alaska,1
11252,1125203,31252,DAB,"Daytona Beach, FL",FL,12,Florida,33
11259,1125904,30194,DAL,"Dallas, TX",TX,48,Texas,74
11267,1126702,31267,DAY,"Dayton, OH",OH,39,Ohio,44
11274,1127402,31274,DBQ,"Dubuque, IA",IA,19,Iowa,61
11278,1127805,30852,DCA,"Washington, DC",VA,51,Virginia,38
11283,1128302,31283,DDC,"Dodge City, KS",KS,20,Kansas,62
11288,1128802,31288,DEC,"Decatur, IL",IL,17,Illinois,41
11292,1129202,30325,DEN,"Denver, CO",CO,8,Colorado,82
11298,1129806,30194,DFW,"Dallas/Fort Worth, TX",TX,48,Texas,74
11308,1130802,31308,DHN,"Dothan, AL",AL,1,Alabama,51
11315,1131504,31315,DIK,"Dickinson, ND",ND,38,"North Dakota",66
11317,1131702,31317,DIO,"Diomede Island, AK",AK,2,Alaska,1
11336,1133602,31336,DLG,"Dillingham, AK",AK,2,Alaska,1
11337,1133705,31337,DLH,"Duluth, MN",MN,27,Minnesota,63
11375,1137502,31375,DOV,"Dover, DE",DE,10,Delaware,31
11387,1138701,31387,M91,"Springfield, TN",TN,47,Tennessee,54
11391,1139106,31391,DQK,"Fort Drum, NY",NY,36,"New York",22
11411,1141105,31411,DRG,"Deering, AK",AK,2,Alaska,1
11413,1141307,30285,DRO,"Durango, CO",CO,8,Colorado,82
11415,1141501,31335,DRT,"Del Rio, TX",TX,48,Texas,74
11423,1142308,31423,DSM,"Des Moines, IA",IA,19,Iowa,61
11430,1143006,31430,DTO,"Denton, TX",TX,48,Texas,74
11433,1143302,31295,DTW,"Detroit, MI",MI,26,Michigan,43
11441,1144102,31441,DUJ,"DuBois, PA",PA,42,Pennsylvania,23
11445,1144505,31445,DUT,"Unalaska, AK",AK,2,Alaska,1
